cluster_id,community_label,community_size,top_keywords
14,eps / guidance / year,40,"eps, guidance, year, growth, adjusted, eps guidance, 2025, adjusted eps, 2026, eps growth, share, quarter, core, target, midpoint"
6,guidance / year / share,36,"guidance, year, share, ffo, 2025, midpoint, growth, core ffo, core, affo, million, raised, ffo share, 2026, range"
34,growth / loan / guidance,34,"growth, loan, guidance, 2026, management, loan growth, single, mid, expected, digit, single digit, mid single, income, year, deposit"
2,year / noi / store,33,"year, noi, store, growth, revenue, million, year year, basis, 000, occupancy, noi growth, property, points, basis points, quarter"
4,ounces / 000 / production,33,"ounces, 000, production, gold, ounce, year, 2025, silver, guidance, million, 000 ounces, aisc, cost, q4, higher"
68,million / guidance / q4,33,"million, guidance, q4, gaap, revenue, expected, year, non, non gaap, margin, 2025, operating, eps, q3, gross"
54,million / expenses / year,32,"million, expenses, year, operating, costs, expense, operating expenses, quarter, administrative, expense million, development, prior, 000, lower, higher"
61,revenue / year / million,32,"revenue, year, million, advertising, year year, advertising revenue, segment, growth, increased, ad, cable, media, total, billion, driven"
40,data / data center / center,32,"data, data center, center, megawatts, new, capacity, power, demand, management, growth, year, customers, opportunities, solutions, customer"
8,backlog / billion / year,31,"backlog, billion, year, million, approximately, end, management, margin, year end, order, described, conversion, backlog conversion, market, new"
11,patient / engagement / new,30,"patient, engagement, new, clinical, patients, care, palsonify, expansion, community, physician, company, adoption, commercial, volume, peer"
49,million / gaap / non gaap,29,"million, gaap, non gaap, non, 2025, operating, year, q2, net, income, margin, q2 2025, share, expenses, q3"
30,leverage / net / net leverage,29,"leverage, net, net leverage, ratio, leverage ratio, debt, target, company, ebitda, times, year, 3x, 5x, management, net debt"
16,weather / winter / quarter,28,"weather, winter, quarter, operational, management, expected, impact, sales, storm, january, revenue, year, storms, severe, impacts"
7,year / revpar / year year,27,"year, revpar, year year, quarter, million, hotels, growth, hotel, adjusted, rmb, revenue, margin, ebitda, increase, total"
27,inflation / price / cost,27,"inflation, price, cost, increases, pricing, cost inflation, year, costs, inflationary, input, management, price increases, response, persistent, half"
33,cloud / year / customer,27,"cloud, year, customer, revenue, growth, platform, ai, key, expansion, rmb, billion, year year, rmb billion, app, partnership"
69,million / guidance / q2,27,"million, guidance, q2, revenue, year, billion, 2026, 2025, growth, margin, expected, q1, revenue guidance, midpoint, adjusted"
48,million / year / rmb,26,"million, year, rmb, expenses, year year, net, revenue, billion, cash, 2025, operating, quarter, revenues, total, gaap"
21,leverage / operating / margin,25,"leverage, operating, margin, operating leverage, management, year, cost, half, second, improvements, expected, investments, company, ongoing, leverage expected"
44,year / revenue / million,25,"year, revenue, million, cloud, billion, year year, growth, services, ai, quarter, cloud revenue, total, total revenue, increase, aws"
