cluster,size,top_words,top_companies
36,59,"capital, balance, sheet, balance sheet, debt, company, cash, management, flexibility, ratio, equity, leverage, ongoing, future, growth","Expand Energy, Akamai, Rex, Millerknoll, Cathay, Group 1, Artisan, Matson, Slm, Mdu Resources"
37,59,"million, net, quarter, income, year, basis, net income, basis points, points, margin, net margin, sequentially, year year, prior, 2025","Trustco, Fb Financial, Ally Financial, Butterfield, Fnb, Trustmark, Hilltop, Regions, Community Financial, Bread Financial"
38,62,"deposit, deposits, quarter, year, million, cost, growth, bearing, total, basis, management, 2025, billion, basis points, costs","First Bank, South Plains, Customers Bancorp, Zions, Bankwell, St Bancorp, Bank Ozk, Connectone, Truist, Five Star"
39,178,"million, loans, loan, year, quarter, credit, portfolio, total, 2025, billion, q2, growth, year year, q2 2025, net","Banner, Trustco, Hanmi, Rbb Bancorp, Eagle Bancorp, Bank Ozk, First Merchants, Newtekone, First Bank, Prosperity"
40,32,"data, center, data center, megawatts, new, capacity, power, demand, customers, growth, opportunities, management, year, solutions, revenue","Sify, Kinder Morgan, Baker Hughes, Cnx, Flex, Generac, Arm, The Aes, Coherent, Pioneer Power"
41,82,"capital, management, allocation, capital allocation, capital deployment, growth, deployment, organic, share, buybacks, investment, opportunities, focus, acquisitions, strategy","Netflix, Cubesmart, Intuitive, Crown Castle, Butterfield, Newmont, Ameris, Ufp Industries, Telos, Verifyme"
42,139,"share, repurchases, capital, repurchase, million, share repurchases, share repurchase, management, shares, authorization, program, quarter, buybacks, year, buyback","Kanzhun, Travelers, Materion, Orchid Island, Nexpoint, Beazer Homes, Arch Capital, Univest, Unum, Canaan"
43,120,"dividend, share, capital, return, cash, million, shareholder, dividends, management, returns, repurchases, 2025, shareholders, flow, cash flow","Orchid Island, Slr, Wd 40, Erie Indemnity, Avista, Blue Owl, Becton Dickinson, Teradyne, Yum China, Fastenal"
44,25,"year, revenue, million, cloud, billion, year year, growth, services, ai, total, quarter, cloud revenue, total revenue, increase, aws","Applied Digital, Alphabet, Hpe, Amazon, Kingsoft Cloud, Magnite, Nice, Seagate, Sandisk, Insight"
45,43,"sales, declined, year, decline, pricing, segment, retail, quarter, pressure, 10, consumer, expected, attributed, year year, growth","Koppers, 1Stdibs, Paypal, Wabtec, Honest, 1 800 Flowers, Duluth, Stride, Avnet, Capri Holdings"
46,83,"new, growth, management, product, expansion, engagement, value, brand, customer, pricing, focus, strategy, innovation, consumer, future","Sprouts, Lovesac, Hilton, Saga, Atrenew, Tat Tech, Iqiyi, Lowes, Ralph Lauren, Sunlands"
47,338,"ai, management, product, technology, efficiency, initiatives, new, operational, customer, company, adoption, driven, platform, revenue, ai driven","Box, Planet Labs, Asgn, Servicenow, Exponent, Airbnb, Brookfield, Fnb, News Corp, Globant"
48,26,"million, year, rmb, expenses, year year, net, revenue, billion, cash, 2025, operating, quarter, revenues, gaap, total","Atrenew, Viomi, Kanzhun, Vipshop, Iqiyi, Tuniu, Cango, Sunlands, Kingsoft Cloud, Jiayin"
49,29,"million, gaap, non gaap, non, 2025, operating, year, q2, net, margin, income, q2 2025, share, expenses, gaap operating","Enphase, Gilat, Equity, Community Financial, First Bank, Vicor, Illinois Tool Works, Mara, Varonis, Cal Water"
50,51,"million, year, adjusted, income, operating, quarter, net, adjusted operating, margin, net income, operating income, billion, revenue, share, year year","Allegion, Ubs, Heritage Global, Community Financial, Onespaworld, Ovintiv, Old Republic, Erie Indemnity, Keysight, Abm"
51,198,"gaap, million, year, non, non gaap, share, operating, income, margin, quarter, net, gaap operating, year year, gross, net income","Seagate, New Oriental, Ceva, Vertex, D Wave, Omnicell, Synaptics, Rithm, Tal, 8X8"
52,64,"million, loss, year, net, operating, share, net loss, quarter, prior, loss million, adjusted, 000, operating loss, prior year, compared","Netcapital, Jewett Cameron, Lovesac, Intel, Bio Key, Bos, Gaia, Cno Financial, Veritone, Avita Medical"
53,88,"year, revenue, million, arr, year year, growth, billion, total, subscription, recurring, quarter, recurring revenue, saas, non, annual","Crowdstrike, Freshworks, Varonis, Rubrik, Commvault, Verint, Moodys, Nutanix, Sailpoint, Karooooo"
54,32,"million, expenses, year, operating, costs, expense, operating expenses, quarter, administrative, expense million, 000, development, higher, prior, lower","1Stdibs, W R Berkley, Atmus Filtration, Natwest, Avnet, Sight Sciences, Lisata, Anavex, Nbt Bancorp, Rbb Bancorp"
55,54,"million, sg, year, expenses, sales, expense, operating, costs, adjusted, higher, revenue, sg expense, sg expenses, 000, growth","Wingstop, Sally Beauty, Bw Lpg, Pool Corp, Riot, Incyte, Fresh Del Monte, Insight, Angiodynamics, Cal Maine Foods"
56,77,"q4, q2, q1, management, quarter, q3, revenue, expected, growth, fiscal, seasonality, 2026, sequential, performance, 2025","General Mills, Brown Brown, Ceribell, Blackberry, Old Dominion, Seagate, Harmonic, Savers, Rocket, Innospec"
57,49,"sales, million, year, restaurant, points, basis, basis points, lower, margin, profit, higher, costs, revenue, egg, net","Good Times, Portillos, Cal Maine, Smithfield Foods, Rbi, Cracker Barrel, Biogen, Yum China, Traeger, Cava"
58,70,"year, revenue, million, year year, sequentially, fiber, growth, quarter, 000, data, total, segment, iot, net, center","Fabrinet, Ceva, Uniti, Shenandoah, Att, Iridium, Tds, Adtran, Array Digital, Sify"
59,74,"million, year, revenue, fy2025, fy2026, gaap, q2, margin, operating, year year, non, guidance, non gaap, adjusted, fiscal","8X8, Box, Mongodb, Mission Produce, Blackberry, Td Synnex, Aerovironment, Paychex, Snap On, Manhattan"
60,121,"year, revenue, million, segment, operating, year year, margin, segment revenue, sales, basis, billion, growth, increased, points, aerospace","Arcbest, Knight Swift, Kaiser Aluminum, Garmin, General Dynamics, Crane, Hexcel, Spx, Cts, Patrick"
61,32,"revenue, year, million, advertising, year year, advertising revenue, segment, growth, increased, cable, ad, media, total, billion, driven","Fox, Siriusxm, Urban One, Scripps, Adobe, Spotify, Meta Platforms, Endava, Ny Times, Pinterest"
62,57,"million, revenue, year, year year, quarter, total, total revenue, growth, services, million year, sequentially, 000, increase, reflecting, driven","Omnicell, Sohucom, 10X Genomics, Marcus, Myr Group, Ionis, Canaan, Ituran, Workday, Peloton"
63,71,"million, q4, year, revenue, adjusted, margin, year year, ebitda, adjusted ebitda, basis, net, prior, million q4, loss, prior year","Webtoon, Donaldson, Ascendis, Stoneco, Kamada, Cerence, Novocure, On Holding, News Corp, Stifel"
64,53,"sales, million, net, net sales, year, growth, segment, currency, increased, basis, quarter, year year, 2025, store, comparable","Millerknoll, On Holding, Vita Coco, Keurig Dr Pepper, Savers, Monster, Livewire, La Z Boy, Dicks, Ollies"
65,56,"revenue, year, growth, million, organic, year year, total, revenue growth, international, currency, billion, organic revenue, organic growth, sales, constant","Zoetis, Accuray, Mirion, Parsons, Pulmonx, Allegion, Lululemon, Hormel, American Tower, Emerald"
66,51,"ebitda, adjusted, margin, adjusted ebitda, management, ebitda margin, year, target, term, 2026, margin target, cost, expected, million, 2025","Lyondellbasell, Siteone, Citi Trends, Rpm, Silgan, Dave Busters, Cleveland Cliffs, Owens Corning, Ambac, Calibercos"
67,269,"million, year, ebitda, adjusted, adjusted ebitda, margin, quarter, year year, revenue, segment, basis, 000, points, basis points, net","Lyondellbasell, Ashland, Darling, Constellium, News Corp, Ge Healthcare, Boise Cascade, Nabors, Genie Energy, Luxfer"
68,33,"million, guidance, q4, gaap, revenue, year, expected, non, non gaap, margin, 2025, operating, eps, gross, q4 2025","Maxlinear, Radware, Sonic Automotive, Mediaalpha, Orasure, Gigacloud, Xponential, Rackspace, Ceva, Canaan"
69,27,"million, guidance, q2, year, revenue, billion, 2026, 2025, growth, margin, revenue guidance, expected, q1, midpoint, adjusted","Loandepot, Knowles, Viavi, Egain, Vertex, Jabil, Dolby, Palantir, Sohucom, Bgc Group"
70,116,"million, guidance, adjusted, ebitda, revenue, 2026, adjusted ebitda, year, billion, 2025, growth, margin, expected, ebitda guidance, revenue guidance","Zevia, Medpace, Paycom, Noble, Oatly, Fiverr, Brightstar, Thryv, United Rentals, Gilat"
71,93,"million, guidance, year, 2026, billion, revenue, growth, operating, expected, non, revenue guidance, income, midpoint, projected, gaap","Fnb, Ciena, Hr Block, Wix, Bloom Energy, Cubesmart, Mongodb, Eastern Bankshares, Ecovyst, Hudbay"
